2024-09-27 20:37:24,950 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 19879, _objects_num_after_nms: 1400, _person_num_after_nms: 1400, _car_num_after_nms: 0
2024-09-27 20:37:31,630 - INFO - objects_num_before_nms: 37, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 20004, _objects_num_after_nms: 1430, _person_num_after_nms: 1430, _car_num_after_nms: 0
2024-09-27 20:37:31,824 - INFO - objects_num_before_nms: 27, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 19671, _objects_num_after_nms: 1406, _person_num_after_nms: 1405, _car_num_after_nms: 0
2024-09-27 20:37:38,871 - INFO - objects_num_before_nms: 37, objects_num_after_nms: 4, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 20063, _objects_num_after_nms: 1405, _person_num_after_nms: 1404, _car_num_after_nms: 0
2024-09-27 20:37:39,062 - INFO - objects_num_before_nms: 31, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 19916, _objects_num_after_nms: 1376, _person_num_after_nms: 1374, _car_num_after_nms: 0
2024-09-27 20:37:45,683 - INFO - objects_num_before_nms: 40, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 20942, _objects_num_after_nms: 1556, _person_num_after_nms: 1555, _car_num_after_nms: 0
2024-09-27 20:37:45,889 - INFO - objects_num_before_nms: 36, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 20940, _objects_num_after_nms: 1576, _person_num_after_nms: 1576, _car_num_after_nms: 0
2024-09-27 20:37:52,478 - INFO - objects_num_before_nms: 17, objects_num_after_nms: 3, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 18976, _objects_num_after_nms: 1219, _person_num_after_nms: 1219, _car_num_after_nms: 0
2024-09-27 20:37:52,659 - INFO - objects_num_before_nms: 2, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 18864, _objects_num_after_nms: 1220, _person_num_after_nms: 1219, _car_num_after_nms: 0
2024-09-27 20:37:59,250 - INFO - objects_num_before_nms: 11, objects_num_after_nms: 4, person_num_after_nms: 4, car_num_after_nms: 0 -> _objects_num_before_nms: 20702, _objects_num_after_nms: 1283, _person_num_after_nms: 1283, _car_num_after_nms: 0
2024-09-27 20:37:59,436 - INFO - objects_num_before_nms: 4, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 20276, _objects_num_after_nms: 1266, _person_num_after_nms: 1266, _car_num_after_nms: 0
2024-09-27 20:38:06,044 - INFO - objects_num_before_nms: 0, objects_num_after_nms: 0, person_num_after_nms: 0, car_num_after_nms: 0 -> _objects_num_before_nms: 20342, _objects_num_after_nms: 1458, _person_num_after_nms: 1458, _car_num_after_nms: 0
2024-09-27 20:38:06,241 - INFO - objects_num_before_nms: 1, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 20602, _objects_num_after_nms: 1473, _person_num_after_nms: 1472, _car_num_after_nms: 0
2024-09-27 20:38:12,644 - INFO - objects_num_before_nms: 2, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 20697, _objects_num_after_nms: 1378, _person_num_after_nms: 1377, _car_num_after_nms: 1
2024-09-27 20:38:12,839 - INFO - objects_num_before_nms: 20, objects_num_after_nms: 2, person_num_after_nms: 2, car_num_after_nms: 0 -> _objects_num_before_nms: 20855, _objects_num_after_nms: 1401, _person_num_after_nms: 1400, _car_num_after_nms: 0
2024-09-27 20:38:20,304 - INFO - objects_num_before_nms: 16, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 22287, _objects_num_after_nms: 1609, _person_num_after_nms: 1609, _car_num_after_nms: 0
2024-09-27 20:38:20,650 - INFO - objects_num_before_nms: 14, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 22280, _objects_num_after_nms: 1588, _person_num_after_nms: 1588, _car_num_after_nms: 0
2024-09-27 20:38:28,929 - INFO - objects_num_before_nms: 2, objects_num_after_nms: 1, person_num_after_nms: 1, car_num_after_nms: 0 -> _objects_num_before_nms: 21965, _objects_num_after_nms: 1643, _person_num_after_nms: 1642, _car_num_after_nms: 0
2024-09-27 20:38:29,281 - INFO - objects_num_before_nms: 11, objects_num_after_nms: 3, person_num_after_nms: 2, car_num_after_nms: 1 -> _objects_num_before_nms: 21594, _objects_num_after_nms: 1656, _person_num_after_nms: 1655, _car_num_after_nms: 0
2024-09-27 20:38:37,157 - INFO - objects_num_before_nms: 34, objects_num_after_nms: 4, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 19148, _objects_num_after_nms: 1250, _person_num_after_nms: 1247, _car_num_after_nms: 0
2024-09-27 20:38:37,340 - INFO - objects_num_before_nms: 55, objects_num_after_nms: 8, person_num_after_nms: 6, car_num_after_nms: 1 -> _objects_num_before_nms: 19022, _objects_num_after_nms: 1234, _person_num_after_nms: 1231, _car_num_after_nms: 0
2024-09-27 20:38:44,082 - INFO - objects_num_before_nms: 58, objects_num_after_nms: 6, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 20023, _objects_num_after_nms: 1286, _person_num_after_nms: 1286, _car_num_after_nms: 0
2024-09-27 20:38:44,270 - INFO - objects_num_before_nms: 74, objects_num_after_nms: 8, person_num_after_nms: 7, car_num_after_nms: 0 -> _objects_num_before_nms: 20036, _objects_num_after_nms: 1292, _person_num_after_nms: 1292, _car_num_after_nms: 0
2024-09-27 20:38:51,307 - INFO - objects_num_before_nms: 60, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 0 -> _objects_num_before_nms: 22532, _objects_num_after_nms: 1551, _person_num_after_nms: 1551, _car_num_after_nms: 0
2024-09-27 20:38:51,516 - INFO - objects_num_before_nms: 65, objects_num_after_nms: 5, person_num_after_nms: 3, car_num_after_nms: 1 -> _objects_num_before_nms: 22550, _objects_num_after_nms: 1555, _person_num_after_nms: 1555, _car_num_after_nms: 0
2024-09-27 20:38:58,413 - INFO - objects_num_before_nms: 37, objects_num_after_nms: 5, person_num_after_nms: 4, car_num_after_nms: 1 -> _objects_num_before_nms: 21401, _objects_num_after_nms: 1479, _person_num_after_nms: 1479, _car_num_after_nms: 0
2024-09-27 20:38:58,630 - INFO - objects_num_before_nms: 28, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 21528, _objects_num_after_nms: 1499, _person_num_after_nms: 1499, _car_num_after_nms: 0
2024-09-27 20:39:05,853 - INFO - objects_num_before_nms: 23, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 21887, _objects_num_after_nms: 1640, _person_num_after_nms: 1639, _car_num_after_nms: 0
2024-09-27 20:39:06,072 - INFO - objects_num_before_nms: 25, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 21767, _objects_num_after_nms: 1607, _person_num_after_nms: 1607, _car_num_after_nms: 0
2024-09-27 20:39:13,404 - INFO - objects_num_before_nms: 27, objects_num_after_nms: 3, person_num_after_nms: 3, car_num_after_nms: 0 -> _objects_num_before_nms: 21688, _objects_num_after_nms: 1538, _person_num_after_nms: 1536, _car_num_after_nms: 0
